X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
0.0302,0.0302,j,1,11.26516,,0,,0,0,0.07839316,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,1.72035,,1,0,0,0,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0.07839316,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,2.015775,,1,1,0,1,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0.07839316,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,j,1,0.752915,,1,2,0,2,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,0.07839316,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,0.687325,space,1,3,0,3,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,2.71118,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0.07839316,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,1.30336,,1,4,0,4,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.07839316,1,Stimuli/dory2.png,Stimuli/dory1.png,f,0,3.401905,,1,5,0,5,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,-0.07839316,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.134315,,0,6,0,6,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0.07839316,0,Stimuli/nemo2.png,Stimuli/nemo2.png,j,0,1.38301,,1,7,0,7,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,-0.07839316,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.60616,,1,8,0,8,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,-0.07839316,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,0.479365,space,1,9,0,9,0,1,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,1.034025,,,,,,,,,,,,,,,,,,,,,,,,,,
