X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
0.0564,0.0568,j,1,4.79654,,0,f,1,6.34596,0,0.14640312,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.38286,,1,0,0,0,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.14640312,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.10985,,1,1,0,1,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.14640312,1,Stimuli/dory2.png,Stimuli/dory1.png,j,1,1.777895,,1,2,0,2,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.14640312,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,j,1,3.54332,space,1,3,0,3,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,2.1803,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.14640312,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,1.94371,,1,4,0,4,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.14640312,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,0.943185,,1,5,0,5,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.14640312,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,0.863225,space,1,6,0,6,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,1.54046,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.14640312,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,1.14173,,0,7,0,7,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.14640312,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,1.63022,,1,8,0,8,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.14640312,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,0.607785,,1,9,0,9,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.14640312,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.65695,,1,10,0,10,0,1,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,,,,,,,
