X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
0.0696,0.0703,space,34.249,j,1,26.969,,0,j,0,6.955,0,-0.241942619,0,Stimuli/edmd.png,Stimuli/edmd.png,,0,,1,0,0,0,0,1,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,1,Stimuli/f24.png,Stimuli/f131.png,j,1,,1,1,0,1,0,1,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,2.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,-0.241942619,0,Stimuli/eimd.png,Stimuli/eimd.png,f,1,,0,2,0,2,0,1,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,1.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,1,Stimuli/f15.png,Stimuli/f131.png,,0,,1,3,0,3,0,1,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,0,Stimuli/f24.png,Stimuli/f24.png,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,1,j,0,1.509,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,-0.241942619,1,Stimuli/eomu.png,Stimuli/f24.png,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,0,j,1,4.57,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,1,j,0,4.64,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,1,Stimuli/f15.png,Stimuli/f24.png,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,1,j,1,4.75,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,-0.241942619,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,,1,0,0,0,0,1,HK,1,1,2020-11-29_11h00.22.904,configural_featural,2020.2.4,MacIntel,60,1366,768,4.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
