X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,key_resp_5.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
0.0589,0.0558,j,1,13.728335,,0,f,1,8.495495,0,0.15289262,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,1.38419,,1,0,0,0,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.15289262,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,0.850965,,1,1,0,1,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.15289262,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,0.8021,,1,2,0,2,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.15289262,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,0.49489,,1,3,0,3,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.15289262,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,1.067595,space,1,4,0,4,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,1.850235,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0.15289262,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,0.58905,,1,5,0,5,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,-0.15289262,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,0.667485,,0,6,0,6,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.15289262,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,0.99109,,1,7,0,7,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.15289262,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,0.52464,,1,8,0,8,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,-0.15289262,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,j,1,0.317645,space,1,9,0,9,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,0.734815,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.15289262,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,0.54015,,1,10,0,10,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,-0.15289262,1,Stimuli/dory2.png,Stimuli/dory1.png,j,1,0.45127,,1,11,0,11,0,1,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H7sim0.png,Stimuli/H8sim0.png,,,,f,0,1.076915,,0,0,0,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,,,,j,1,0.660255,,1,0,1,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.4517,,2,0,2,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,,,,f,0,0.699925,,3,0,3,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,13.33415,space,4,0,4,0,1,10.85072,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.71623,,5,0,5,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.55074,,6,0,6,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.276805,,7,0,7,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.71009,,8,0,8,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,,,,j,1,0.465395,,9,0,9,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H6sim0.png,Stimuli/H5sim0.png,,,,j,1,1.23437,,10,0,10,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H6sim0.png,Stimuli/H5sim0.png,,,,j,1,0.61199,,11,0,11,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,0,Stimuli/H8sim0.png,Stimuli/H7sim0.png,,,,j,1,0.46741,,12,0,12,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,-0.20374688,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,,,space,j,1,0.73646,,13,0,13,0,1,,0.1509,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,,,,j,1,0.43463,,14,0,14,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,0.20374688,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,j,0,1.46114,space,15,0,15,0,1,0.135195,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.451145,,16,0,16,0,1,,,,,,,,feat_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,,MG,4,2,2020-11-15_22h32.34.325,configural_featural,2020.2.4,MacIntel,60,1440,900,,0,-0.20374688,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,0.35459,,17,0,17,0,1,,,,,,,,feat_haus,,
