X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
0.0517,0.0509,space,112.417595,f,0,31.377195,,0,,0,0,-0.179718871,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,f,1,3.70205,,1,0,0,0,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H-8sim1.png,j,1,3.43296,,0,1,0,1,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,0,,,1,2,0,2,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,f,0,3.681105,,1,3,0,3,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,1,Stimuli/H5sim0.png,Stimuli/H-8sim1.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,1,,0,1,0,1,0,1,3.585875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,0,,0,2,0,2,0,1,3.27091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/H-8sim0.png,Stimuli/H7sim0.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,f,0,3,0,3,0,1,,4.26778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,2.21911,,1,0,0,0,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
