X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,prac_resp.rt,prac_resp2.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
0.0557,0.0559,space,34.336385,f,0,22.02657,,0,,0,0,0.193623619,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,0,,1,0,0,0,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,0,,1,1,0,1,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.193623619,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,0,,0,2,0,2,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/H5sim0.png,Stimuli/H-8sim0.png,,0,,1,3,0,3,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/H-8sim1.png,Stimuli/H7sim0.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.193623619,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,space,1,,0,2,0,2,0,1,0.37384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/H-8sim3.png,Stimuli/H6sim0.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,0,Stimuli/eomu.png,Stimuli/eomu.png,,0,space,0,0,0,0,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,1.48774,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/f142.png,Stimuli/edmd.png,j,1,,1,1,0,1,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,1.583965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.193623619,0,Stimuli/f142.png,Stimuli/f142.png,j,0,,0,2,0,2,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,1.74939,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/eomu.png,Stimuli/f24.png,,0,,1,3,0,3,0,1,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/f142.png,Stimuli/f24.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,1,j,1,1,0,1,0,1,,,,,,,,,1.03261,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.193623619,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,space,1,,0,2,0,2,0,1,0.46274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.193623619,1,Stimuli/eomu.png,Stimuli/edmd.png,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,space,0,,0,3,0,3,0,1,0.610305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,feat_haus,j,0,13.38685,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/H8sim0.png,Stimuli/H7sim0.png,feat_haus,j,1,1.10256,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,feat_haus,f,0,38.02252,,0,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/H5sim0.png,Stimuli/H7sim0.png,feat_haus,j,1,4.156115,,1,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,feat_haus,f,1,2.616865,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,feat_haus,f,1,9.85829,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,feat_haus,j,1,1.529685,space,1,6,0,6,0,1,1.254455,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,feat_haus,f,1,2.16923,space,0,7,0,7,0,1,0.518505,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,feat_haus,f,0,10.513395,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,feat_haus,f,1,1.27841,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,0,0.193623619,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,feat_haus,j,0,1.38854,,1,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,dt,4,3,2020-12-01_15h06.32.323,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,1,0.193623619,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,feat_haus,j,1,3.396215,,0,11,0,11,0,1,,,,,,,,
