X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_resp2.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
0.0638,0.0645,space,63.18996,f,0,40.965045,,0,,0,0,-0.221780734,0,Stimuli/eimd.png,Stimuli/eimd.png,,0,,1,0,0,0,0,1,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.221780734,1,Stimuli/f24.png,Stimuli/edmd.png,,0,,0,1,0,1,0,1,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,0,Stimuli/f15.png,Stimuli/f15.png,f,1,,1,2,0,2,0,1,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,2.402325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,1,Stimuli/f15.png,Stimuli/f142.png,,0,,1,3,0,3,0,1,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,1,Stimuli/eumu.png,Stimuli/f131.png,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,1,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.221780734,0,Stimuli/f142.png,Stimuli/f142.png,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,0,,0,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,1,Stimuli/f142.png,Stimuli/f131.png,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,1,,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.221780734,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,f,1,,1,0,0,0,0,1,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,3.72254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
