X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
0.053,0.05,space,16.914705,f,0,16.03994,,0,,0,0,-0.1833376,0,Stimuli/eimd.png,Stimuli/eimd.png,f,1,3.59419,space,0,3.594805,0,0,0,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1833376,1,Stimuli/eumu.png,Stimuli/f24.png,,0,,,0,,1,0,1,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,1.389065,,1,,2,0,2,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/f142.png,Stimuli/edmd.png,f,0,3.33288,,1,,3,0,3,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/f15.png,Stimuli/f131.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,j,1,1,0,1,0,1,3.22616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1833376,0,Stimuli/f142.png,Stimuli/f142.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,0,f,1,2,0,2,0,1,1.30263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/f142.png,Stimuli/f131.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,j,1,3,0,3,0,1,2.399105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,f,1,3.61519,,1,,0,0,0,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim2.png,Stimuli/H8sim0.png,f,0,3.857565,space,0,3.745415,1,0,1,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1833376,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,j,0,3.768455,,0,,2,0,2,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim1.png,Stimuli/H5sim0.png,f,0,2.279985,space,0,2.26835,3,0,3,0,1,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,f,1,0,0,0,0,1,3.02866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1833376,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,space,1,f,1,2,0,2,0,1,2.335465,,,,,,2.35426,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1833376,1,Stimuli/H-8sim1.png,Stimuli/H6sim0.png,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,1,j,1,3,0,3,0,1,1.746775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,nb,1,1,2020-11-20_14h08.02.638,configural_featural,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,,,0,-0.1833376,1,Stimuli/edmd.png,Stimuli/edmd.png,f,1,1.09338,,0,0,0,0,1,,,,,,,conf_face,
