X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
0.0469,0.047,j,1,2.863155,space,1,2.59128,f,1,1.3906,0,0.1622271,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,1.283485,,1,0,0,0,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,1.29999,,1,1,0,1,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,0.61696,,1,2,0,2,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.41543,,1,3,0,3,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.1622271,1,Stimuli/dory2.png,Stimuli/dory1.png,j,1,0.54126,space,1,4,0,4,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,1.120555,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,j,1,1.26766,,1,5,0,5,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,1.5657,,1,6,0,6,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1622271,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,0.78818,space,1,7,0,7,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,1.11619,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1622271,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,0.68381,,0,8,0,8,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.51505,,1,9,0,9,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
