Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,key_resp_5.rt,allDone.started,allDone.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,52.23264547693543,52.43710867303889,52.23264547693543,None,52.702213960001245,None,53.36868666904047,None,j,1,0.9199181570438668,53.36868666904047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.75988591997884,55.97086477500852,55.75988591997884,None,56.218762872042134,None,56.402080807019956,None,space,1,1.724928573006764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.5153054919792339,56.402080807019956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,69.165781604941,69.36892689403612,69.165781604941,None,69.4641487080371,69.669004854979,69.4641487080371,None,j,1,0.5479949089931324,69.63559489301406,None,None,1,69.63559489301406,None,73.63707711198367,None,73.63707711198367,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,75.63573652599007,75.83554029103834,75.63573652599007,None,75.95405154803302,76.15244293096475,75.95405154803302,None,f,1,0.5550865361001343,76.1378164680209,None,None,1,76.1378164680209,None,80.1190809890395,None,80.1190809890395,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,82.16640344902407,82.36912581103388,82.16640344902407,None,82.46502995304763,82.66915090603288,82.46502995304763,None,f,1,0.4611914389533922,82.63566248200368,None,None,1,82.63566248200368,None,86.63550060696434,None,86.63550060696434,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0,Stimuli/nemo2.png,Stimuli/nemo2.png,88.68151294894051,88.88544501003344,88.68151294894051,None,88.96477285795845,89.17104792303871,88.96477285795845,None,f,1,0.5362256730441004,89.13801853801124,None,None,1,89.13801853801124,None,93.1189695840003,None,93.1189695840003,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,95.16616579098627,95.37099308602046,95.16616579098627,None,95.43582868494559,95.63582573994063,95.43582868494559,None,j,1,1.2716141060227528,95.60251965199132,99.60235262103379,None,1,95.60251965199132,99.60235262103379,99.6358420009492,None,99.6358420009492,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17295000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,101.63787733495701,101.85269132303074,101.63787733495701,None,101.97725846001413,102.18797510000877,101.97725846001413,None,j,1,1.3147738330299035,102.15273053199053,None,space,1,102.15273053199053,None,106.11909213394392,None,106.11909213394392,None,1.017370203975588,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,108.14414433797356,108.35272969899233,108.14414433797356,None,108.46576652303338,108.67117245204281,108.46576652303338,None,j,1,1.2794374319491908,108.63588610396255,None,None,1,108.63588610396255,None,112.61937363294419,None,112.61937363294419,None,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
