X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,prac_fix_resp.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
0.0646,0.0638,f,1,17.912335,0,,0,,1,0,0,0,3,1,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,j,0,,0,0,1,1,0,1,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,1.81736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,0,,1,0,2,2,1,1,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,3.132445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,1,,1,0,3,3,2,1,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,3.58056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.48034,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,1,1.388035,,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,2.173955,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,1.245235,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,1.051615,,1,0,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.333915,,1,1,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,1.97658,,1,2,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,0,5.684805,,1,3,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.341235,,2,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,j,0,4.854355,,2,1,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,1,1.465295,,2,2,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,0,2.20003,,2,3,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.78898,,3,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,3.681635,,3,1,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,1.35674,,3,2,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,1,,f,1,1.2793,,3,3,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,1,2.09602,,4,0,16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,1.229865,,4,1,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,0,1.393455,,4,2,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,f,0,2.91779,,4,3,19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,h,3,1,2020-11-30_15h41.01.735,global_local,2020.2.4,Win32,60,1366,768,,0,,j,1,2.302815,,5,0,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
