X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
0.0516,0.0519,f,1,24.65889,0,,0,,1,0,0,0,2,1,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,f,1,,0,0,1,1,0,1,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,3.071345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,1,,1,0,2,2,1,1,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,2.37172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,j,1,,1,0,3,3,3,1,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,0.965395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,f,1,3.261745,,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,0,3.36237,,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,1,,f,0,1.52999,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,1.648965,,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,1,,j,0,2.583505,,1,0,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,f,0,4.932195,,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,1,,j,1,1.834995,,1,2,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,1,,f,1,2.18261,,1,3,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,f,1,1.434275,,2,0,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,1.548015,,2,1,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,1,,f,1,1.301715,,2,2,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,3.56959,,2,3,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,0,2.028585,,3,0,12,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,f,1,1.729755,,3,1,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,1.19925,,3,2,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,0.661315,,3,3,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,0.691375,,4,0,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,j,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,1,0.68453,,4,1,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,0,3.93588,,4,2,18,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,j,0,0.6134,,4,3,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,f,left,ak,3,1,2020-12-03_11h02.43.004,global_local,2020.2.4,Win32,60,1536,864,,0,,f,1,2.55048,,5,0,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,
