X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
0.0558,0.0559,j,0,10.483495,0,,0,,1,0,0,0,0,1,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,1,0,1,1,2,1,1,6,smallScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,0,space,1,0,2,2,3,1,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,0.71053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,0,space,0,0,3,3,1,1,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,2.50177,1.44888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,1,2.18705,,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,1,4.25327,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,6,smallScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,f,1,1.902695,,0,2,2,2,1,0.93058,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,j,0,1.8701,,0,3,3,3,1,0.53237,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,1,space,f,1,1.651035,,1,0,4,3,1,0.96628,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,j,1,1.584175,,1,1,5,1,1,0.331725,,,,,,,,,,,,,,,,,,,,,,,,,,,
