trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,15.806531612004619,None,space,1.4547666939906776,15.806531612004619,None,17.344599042000482,17.83987241901923,0.20901922200573608,0.5090192220057361,17.861809615016682,18.06489529099781,s,0,0.9796115920180455,18.01673412701348,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,19.01472706400091,19.21659739399911,0.2028929976222571,0.5028929976222571,19.544754875008948,19.74817309199716,s,0,0.6958740570116788,19.700310187006835,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,20.431479479011614,20.923357432999182,0.199673156341305,0.499673156341305,20.94498144101817,21.150014932994964,d,0,0.46819817199138924,21.098426893004216,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,21.598019491008017,21.800376536004478,0.21700900766882114,0.5170090076688212,22.131091087008826,22.331341436016373,d,0,0.3091880209976807,22.298440968996147,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,22.631179844000144,22.833521454012953,0.20036271968274377,0.5003627196827438,23.161721354990732,23.36669300700305,d,0,0.952252387010958,23.316697139991447,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,24.298148552014027,24.499902956013102,0.2162773406598717,0.5162773406598717,24.83108988800086,25.03180093501578,s,0,0.4626893250097055,24.998206512012985,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,25.500016706995666,26.00669281699811,0.2108473676489666,0.5108473676489667,26.02831955900183,26.233578079991275,d,0,0.980850233027013,26.18203678901773,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,27.181695377017604,27.381988815992372,0.20562237364356406,0.5056223736435641,27.69815503701102,27.89868696400663,s,0,0.9099671340081841,27.86533699001302,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,28.79809996901895,28.998753331019543,0.20005345265963115,0.5000534526596312,29.31467586400686,29.51534864900168,d,0,0.31955651598400436,29.481904793006834,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,29.832042327005183,30.03194611601066,0.20010954566532746,0.5001095456653275,30.361983959010104,30.565356641018298,d,0,1.2920622790115885,30.531911343015963,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,31.847897953994107,32.04854913201416,0.21544382168212906,0.5154438216821291,32.39530020800885,32.59857512699091,d,0,0.6439967739861459,32.531989225011785,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,33.198250802990515,33.39870197599521,0.20251653669402003,0.5025165366940201,33.71482220100006,33.91739694401622,s,0,0.3525852039747406,33.88374895899324,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,34.265422857017256,34.46536404301878,0.19979479967150837,0.49979479967150836,34.78157497601933,34.981896798999514,s,0,0.4981891259958502,34.948644674004754,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,35.4649772690027,35.665321209002286,0.20336884565767832,0.5033688456576784,35.9811764320184,36.181710409000516,s,0,1.1573235789837781,36.14843187699444,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,37.331171825993806,37.533561958000064,0.2001926436496433,0.5001926436496433,37.861710627999855,38.06687234900892,d,0,0.5482916609907988,38.016930873011006,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,38.61692823501653,39.12348935200134,0.21271844767034054,0.5127184476703406,39.14513852799428,39.348374818015145,s,0,0.8076957339944784,39.30010808899533,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
16,0,0,0,0,0,16,16,16,,,,,,,40.131549243000336,40.331894864997594,0.20415636364487,0.50415636364487,40.647934420994716,40.85026734601706,d,0,0.6263353409885895,40.81708229400101,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,41.46509189801873,41.66783917701105,0.20590996465762146,0.5059099646576215,41.98163390599075,42.18197938700905,s,0,0.8438923920039088,42.14867164599127,None,bb,001,2020_Sep_21_2120,config_feat_task,2020.2.4,None,
