runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,instr_and_trial1.thisRepN,instr_and_trial1.thisTrialN,instr_and_trial1.thisN,instr_and_trial1.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,instr_and_trial2.thisRepN,instr_and_trial2.thisTrialN,instr_and_trial2.thisN,instr_and_trial2.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,instr_and_trial3.thisRepN,instr_and_trial3.thisTrialN,instr_and_trial3.thisN,instr_and_trial3.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,instr_and_trial4.thisRepN,instr_and_trial4.thisTrialN,instr_and_trial4.thisN,instr_and_trial4.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.367726419004612,None,space,0.9663496029679663,15.367726419004612,None,16.558234916010406,17.051477708038874,16.74169436300872,None,17.05867954000132,17.258607288007624,s,0,0.29478360700886697,17.243308521050494,None,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0,2.1252358650090173,19.542177574010566,None,17.55849650199525,None,space,1.2170087639824487,17.55849650199525,None,18.857956407999154,19.058995719999075,19.375239364046138,19.57562608399894,0.20582205936079845,0.5058220593607985,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,21.692212589026894,None,space,0.8723767360206693,21.692212589026894,None,,,,,,,d,0,3.4482705470290966,23.49188479903387,None,,,,,,,,,,,,,22.808357870031614,23.300645416020416,23.322471740015317,23.52719585504383,22.993719305028208,None,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0,0.9604777759523131,28.793845761043485,None,26.95899711799575,None,space,1.0382379409857094,26.95899711799575,None,,,,,,,,,,,,,28.120088687050156,28.616903625021223,28.638566281006206,28.841752720007207,28.310126928030513,None,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77547414804576,None,space,1.0960141950054094,29.77547414804576,None,31.024890854023397,31.225285835040268,31.225285835040268,None,31.541646963043604,31.743820631003473,d,0,1.4100826310459524,31.725551957031712,None,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0,0.6324231689795852,34.64387763099512,None,33.15890164504526,None,space,0.6780213149613701,33.15890164504526,None,33.96086822502548,34.46720478503266,34.48875467799371,34.691763719019946,0.20166078495094553,0.5016607849509456,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,35.308580227021594,None,space,1.3415461619733833,35.308580227021594,None,,,,,,,s,0,0.8518198669771664,37.54231687099673,None,,,,,,,,,,,,,36.858626870031,37.35067853605142,37.35828255000524,37.56070669501787,37.04202587902546,None,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0,0.9038560240296647,39.9089281540364,None,38.42536754201865,None,space,0.6696997190010734,38.42536754201865,None,,,,,,,,,,,,,39.22734690801008,39.42540408304194,39.74193369405111,39.942086137016304,39.42540408304194,None,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_24_0150,config_feat_task,2020.2.4,None,
