trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,15.28758590601501,None,space,4.670928393985378,15.28758590601501,None,20.02137833699817,20.521959170000628,0.21639223932288587,0.5163922393228859,20.529583071009256,20.729963147023227,s,0,0.7793547599867452,20.696651717997156,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,21.4959235220158,21.69660978700267,0.20167733367998153,0.5016773336799816,22.012517283001216,22.213338025001576,d,0,0.6011652110028081,22.17990536801517,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,22.831607494008495,23.33821157499915,0.21048673667246476,0.5104867366724648,23.359987686009845,23.563299036002718,s,0,1.0020029459847137,23.51498936902499,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,24.546065948001342,24.74657565599773,0.2016517336887773,0.5016517336887774,25.06286349002039,25.263133280997863,d,0,0.8076039319857955,25.22931893801433,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,26.06258979800623,26.265115075017093,0.2165127906773705,0.5165127906773705,26.595995097013656,26.798392413998954,s,0,0.9732584370067343,26.746655782015296,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,27.746349749009823,27.946623787021963,0.19970730363274924,0.49970730363274923,28.262714301003143,28.4633948970004,d,0,0.42166333898785524,28.429905941011384,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,28.87982851199922,29.08162244700361,0.21673485566861928,0.5167348556686193,29.412783257022966,29.61337800201727,s,0,0.5584552920190617,29.58023395302007,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,30.181667587021366,30.688225734018488,0.2125079636753071,0.5125079636753072,30.710052422014996,30.915089245012496,s,0,0.36053266198723577,30.86335336099728,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,31.246169574005762,31.446754214004613,0.20654073866899125,0.5065407386689913,31.762739673024043,31.96330998200574,s,0,0.5869110639905557,31.929984275018796,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,32.5461002200027,32.74665789701976,0.20113730465527624,0.5011373046552763,33.06274145501084,33.26328439801,s,0,0.48911609197966754,33.22979171501356,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,33.74602610099828,33.94659870202304,0.20179385965457186,0.5017938596545719,34.26231271101278,34.46336241700919,d,0,0.3241188990068622,34.43002557102591,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,34.779732454015175,34.98007520000101,0.2038854616403114,0.5038854616403114,35.29623027102207,35.49847565201344,s,0,0.5740378049958963,35.46333001201856,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,36.062705364020076,36.26321763600572,0.21563121266080998,0.51563121266081,36.610097156022675,36.81336769502377,d,0,0.3818257410021033,36.74677008599974,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,37.14668981102295,37.346691053011455,0.20538456965005025,0.5053845696500503,37.66280715202447,37.86516041102004,d,0,0.542099246988073,37.83171622900409,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,38.39609575402574,38.596706140000606,0.2025851966754999,0.5025851966755,38.91287920001196,39.11489558502217,s,0,0.44741414400050417,39.08163445600076,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,39.546145497006364,39.74829593501636,0.20317024970427155,0.5031702497042716,40.07652440300444,40.279783320002025,s,0,0.2260273239808157,40.229793186997995,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
16,0,0,0,0,0,16,16,16,,,,,,,40.47968867199961,40.67978782200953,0.20511360667296685,0.5051136066729669,40.99614702400868,41.196506795997266,d,0,0.1960998939757701,41.163142001023516,None,wew,001,2020_Sep_21_2305,config_feat_task,2020.2.4,None,
