trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,15.596039689000463,None,space,1.410150525975041,15.596039689000463,None,17.09364610799821,17.590743310021935,0.20681840396719053,0.5068184039671906,17.5985309430107,17.79900150501635,d,0,0.6457527089805808,17.765813792997506,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,18.45062222299748,18.957102464017225,0.20761573867639527,0.5076157386763953,18.978849870007252,19.182168956001988,d,0,0.5054031000181567,19.133836282999255,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,19.683889488020213,20.173823981021997,0.19951755268266425,0.49951755268266423,20.195507409021957,20.400396347016795,s,0,0.7597840260132216,20.349896586005343,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,21.150804022006923,21.657249315001536,0.20817368966527283,0.5081736896652729,21.679154776007636,21.88241484199534,d,0,0.5297655859903898,21.83402300599846,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,22.382133489998523,22.584418045007624,0.20260198664618656,0.5026019866461866,22.912284794001607,23.115732200007187,s,0,0.7488222059910186,23.067426266003167,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,23.849378853017697,24.050839925999753,0.21568009164184332,0.5156800916418434,24.382038651994662,24.58237347600516,s,0,0.8835407770238817,24.54913641899475,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,25.466064200008987,25.665678545017727,0.2137893126346171,0.5137893126346171,26.012359173997538,26.215694407001138,d,0,0.33287196498713456,26.16753068601247,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,26.531752391019836,26.73408367400407,0.19905860067228787,0.49905860067228786,27.06048896201537,27.265523414011113,d,0,0.464527320000343,27.215411609999137,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,27.698575995018473,27.899018844997045,0.20299738069297746,0.5029973806929775,28.21528138301801,28.41757449801662,s,0,0.3789284359954763,28.381713098002365,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,28.7822671860049,28.98405404301593,0.2017433566506952,0.5017433566506952,29.312309607019415,29.51784196301014,d,0,0.5025161649973597,29.465781998005696,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,30.0156488600187,30.215883034019498,0.21461369466851465,0.5146136946685147,30.532012392010074,30.734005711012287,s,0,1.0195893299824093,30.70089624301181,None,wow,001,2020_Sep_21_2143,config_feat_task,2020.2.4,None,
