trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,15.343097773002228,None,space,3.467168381001102,15.343097773002228,None,18.86951788899023,19.374393386999145,0.20282961035263725,0.5028296103526373,19.374393386999145,19.579220924002584,d,0,1.1273170170024969,19.52765335299773,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,20.67774339398602,20.8776871629816,0.19988818463752978,0.49988818463752976,21.19381288898876,21.394342905987287,s,0,0.4014486910018604,21.379273022990674,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,21.810307975974865,22.010926919989288,0.19910977766267024,0.49910977766267023,22.34097976598423,22.545999447989743,d,0,0.47341358399717137,22.494215304992395,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,22.994029563997174,23.19604306499241,0.20113146165385842,0.5011314616538585,23.523889918986242,23.729259865998756,d,0,0.5196930349920876,23.677564090990927,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,24.245636898995144,24.735841656976845,0.2001316026726272,0.5001316026726272,24.75770437400206,24.9609484889952,s,0,0.32717544501065277,24.91260890799458,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,25.26093533798121,25.461038481997093,0.20430936466436833,0.5043093646643684,25.777210408996325,25.977678953000577,d,0,0.503414637001697,25.94421753298957,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,26.47747227997752,26.6776554719836,0.20267357665579766,0.5026735766557977,26.993839270988246,27.193645408988232,s,0,0.5498317219899036,27.161039446975337,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,27.727337216987507,27.927739121980267,0.20322351864888333,0.5032235186488834,28.243442024977412,28.44608319600229,s,0,0.30991891500889324,28.412603098986438,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,28.743681783991633,28.944386128976475,0.20135033963015303,0.5013503396301531,29.260571088001598,29.461093444988364,s,0,0.5654664550093003,29.427707069989992,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,30.01100585598033,30.213503238977864,0.20188371668336913,0.5018837166833692,30.541527868976118,30.744391580985393,s,0,0.5209376330021769,30.696058817993617,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,31.24403338797856,31.444338870991487,0.1998801456647925,0.4998801456647925,31.760580324975308,31.960947876999853,d,0,0.45933895601774566,31.92762507899897,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,32.41102442398551,32.612687460990855,0.20330613368423656,0.5033061336842366,32.940809492982225,33.14417170800152,s,0,0.4073375030129682,33.09593139999197,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,33.52709510800196,33.72747599898139,0.20429352164501324,0.5042935216450133,34.04369505099021,34.24581185900024,s,0,0.5276463580084965,34.212603455001954,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,34.760632015997544,34.96083963799174,0.20418830765993334,0.5041883076599334,35.277164694998646,35.47745905598276,s,0,0.8051182570052333,35.44427253698814,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,36.29605448097573,36.802587435988244,0.21336194867035374,0.5133619486703538,36.82404261798365,37.02761340897996,s,0,0.6960129209910519,36.97920694298227,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,37.69390061098966,37.894526685995515,0.205756293667946,0.505756293667946,38.210649196000304,38.41109554999275,d,0,0.6508913770085201,38.37953338900115,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
16,0,0,0,0,0,16,16,16,,,,,,,39.061286484997254,39.26096516699181,0.2138286056870129,0.5138286056870129,39.60781240099459,39.81108462298289,d,0,0.9024990670150146,39.76273080697865,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,40.69377878299565,40.894420878990786,0.20268872566521168,0.5026887256652117,41.21070185297867,41.42774092499167,d,0,0.8573574829788413,41.391397836996475,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
18,0,0,0,0,0,18,18,18,,,,,,,42.277359564992366,42.47957789999782,0.20364350563613698,0.503643505636137,42.807838651002385,43.0129634179757,d,0,1.1619733810075559,42.96090169099625,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
19,0,0,0,0,0,19,19,19,,,,,,,44.14416652897489,44.34619784998358,0.20377631968585774,0.5037763196858578,44.674523381982,44.8777379419771,s,0,1.0595041170017794,44.82948519100319,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
20,0,0,0,0,0,20,20,20,,,,,,,45.911049360001925,46.11118873298983,0.2036873516626656,0.5036873516626656,46.42741501299315,46.62774280499434,s,0,0.48836490500252694,46.5945705799968,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
21,0,0,0,0,0,21,21,21,,,,,,,47.110801977978554,47.31115846399916,0.20021789864404127,0.5002178986440413,47.62724546197569,47.82777689700015,d,0,0.7916227850073483,47.79449180199299,None,dld,001,2020_Sep_21_2200,config_feat_task,2020.2.4,None,
