trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,15.653214090998517,None,space,1.3793949370156042,15.653214090998517,None,17.09710173800704,17.60271794901928,0.1997356473293621,0.4997356473293621,17.60271794901928,17.80733508701087,s,0,0.5187039730080869,17.755666384997312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,18.305006668000715,18.507754962018225,0.19967056464520283,0.4996705646452028,18.82198638000409,19.022192271018866,d,0,0.21459235501242802,18.98902489800821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,19.22207075401093,19.42388511201716,0.20170636067632586,0.5017063606763259,19.752463370998157,19.95595444200444,s,0,0.45590998901752755,19.907666322018486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,20.388684570003534,20.591937059012707,0.20340065265190788,0.5034006526519079,20.905478016997222,21.107772322022356,d,0,0.3043627209844999,21.074301504006144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,21.40576601002249,21.605886989011196,0.20316143467789516,0.5031614346778952,21.9221439009998,22.12424193500192,d,0,0.5120836840069387,22.090990614000475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,22.6216830490157,22.822575030004373,0.20373121765442193,0.503731217654422,23.138738492998527,23.341053558018757,s,0,0.3036797360109631,23.307936340017477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,23.63873967100517,23.841065092012286,0.21635546366451308,0.5163554636645131,24.172192351019476,24.372659083019244,s,0,0.561630691983737,24.33851578901522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,24.922375533002196,25.122669274016516,0.20378001566859894,0.503780015668599,25.438865025003906,25.639503821003018,d,0,0.28240014100447297,25.605970713018905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,25.905885183019564,26.106011090014363,0.2043810576433316,0.5043810576433316,26.435521188017447,26.641101690009236,s,0,0.4730276199989021,26.589275207021274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,27.088722842017887,27.289413872000296,0.2006757456692867,0.5006757456692867,27.605595130007714,27.80601636102074,d,0,0.24182704399572685,27.77276959500159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,28.03854775399668,28.23933754200698,0.2007372786756605,0.5007372786756605,28.55564777800464,28.757800546998624,s,0,0.47088800198980607,28.739260823000222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,29.238903878023848,29.439313178008888,0.20025347368209623,0.5002534736820963,29.755622523021884,29.956038661010098,d,0,0.4402394250209909,29.922691531013697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,30.388673613022547,30.591135096008657,0.21680846766685136,0.5168084676668514,30.92225145699922,31.124354140018113,s,0,0.38459979300387204,31.07272299201577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,31.471725562005304,31.67275117401732,0.201561389665585,0.5015613896655851,31.98883262902382,32.18930917402031,d,0,0.2911401239980478,32.15787409301265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,32.472557597997366,32.67455463600345,0.2023610986652784,0.5023610986652784,33.002766513003735,33.20612858500681,s,0,0.5779223669960629,33.15811493701767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,33.75586648701574,33.9560205390153,0.20398738168296404,0.5039873816829641,34.272309774009045,34.47237153002061,d,0,0.35894355399068445,34.43932185601443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rer,001,2020_Sep_21_2335,config_feat_task,2020.2.4,None,
