trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,16.212822744972073,None,space,1.909589399001561,16.212822744972073,None,18.18564721097937,18.67936951399315,0.21574150898959488,0.5157415089895949,18.687658516981173,18.89015301899053,d,0,0.6938041689572856,18.85445714200614,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,19.589475856977515,19.787972406949848,0.2088435316691175,0.5088435316691176,20.104316247976385,20.304614973952994,d,0,0.6541621219948865,20.27157254499616,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,20.954362271004356,21.156231069995556,0.20271945768035948,0.5027194576803595,21.48394778795773,21.68938444700325,s,0,0.3817289340076968,21.63803521299269,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,22.03769684297731,22.240611561981495,0.20522186870221049,0.5052218687022105,22.56683820899343,22.77111246896675,s,0,0.3358011979726143,22.722937098995317,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,23.10606784396805,23.30676801595837,0.21040896466001868,0.5104089646600187,23.621102214965504,23.824117856973317,d,0,0.38216704997466877,23.78809009795077,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,24.18795324198436,24.387912456993945,0.20228735369164497,0.502287353691645,24.716972343972884,24.923109246999957,d,0,0.42114553501596674,24.87130687199533,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,25.321151296957396,25.52130877500167,0.2060973706538789,0.5060973706538789,25.83770735998405,26.039419680950232,s,0,0.5161806269898079,26.00614059099462,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,26.554537196992896,26.75445733399829,0.20575828367145732,0.5057582836714574,27.07116103899898,27.272953609994147,d,0,0.5771382000530139,27.239451863977592,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,27.83775400999002,28.038071504968684,0.20453817467205226,0.5045381746720523,28.354587463953067,28.55454857496079,d,0,0.43352906801737845,28.52373042999534,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,28.98792926996248,29.187947597994935,0.20429700467502698,0.504297004675027,29.504454623966012,29.704875077004544,d,0,0.35201913403579965,29.67159471398918,None,,,,,,,,,,,,,,,,,,,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
