trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,14.54010336700594,None,space,1.14637562003918,14.54010336700594,None,15.773333791992627,16.273561623995192,0.21316688595106825,0.5131668859510683,16.28155826998409,16.481907234992832,s,0,0.3735932690324262,16.448332352971192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,16.866472035006154,17.37347684398992,0.2108106396626681,0.5108106396626682,17.39465835795272,17.598297206975985,d,0,0.48055294097866863,17.550161952967755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,18.048662339977454,18.250254751998,0.214213898696471,0.514213898696471,18.581507363007404,18.78361544496147,d,0,0.3564602800179273,18.75005378999049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,19.14994764595758,19.348326264007483,0.2142731536878273,0.5142731536878273,19.66472550999606,19.866842197952792,s,0,0.37176920898491517,19.833671614003833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,20.250367140979506,20.757069712970406,0.20871362363686785,0.5087136236368679,20.7787245149957,20.98199633898912,s,0,0.4831801399705,20.93390945799183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,21.448137273953762,21.64825878996635,0.1998505697119981,0.4998505697119981,21.964929958980065,22.166987692005932,d,0,0.45206289005000144,22.148416519979946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,22.63165532995481,22.832032746984623,0.19956001866376027,0.49956001866376026,23.14821060898248,23.350290015980136,d,0,0.5240408239769749,23.33175986999413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,23.881498183007352,24.081704992975574,0.2029264807351865,0.5029264807351865,24.398106317967176,24.5988681219751,s,0,0.5620686929905787,24.565351485973224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,25.147844669001643,25.350340301985852,0.2001094316947274,0.5001094316947274,25.677939521963708,25.883608432952315,s,0,0.47213935700710863,25.831909095984884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,26.331649692961946,26.531772286980413,0.20331859262660146,0.5033185926266015,26.84826003498165,27.048776956973597,d,0,0.8228792400332168,27.01513419195544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
