target,probe,corrAns
stimuli/Featural_Set/H5sim0.bmp,stimuli/Featural_Set/H6sim0.bmp,d
stimuli/Featural_Set/H5sim0.bmp,stimuli/Featural_Set/H7sim0.bmp,d
stimuli/Featural_Set/H5sim0.bmp,stimuli/Featural_Set/H8sim0.bmp,d
stimuli/Featural_Set/H6sim0.bmp,stimuli/Featural_Set/H7sim0.bmp,d
stimuli/Featural_Set/H6sim0.bmp,stimuli/Featural_Set/H8sim0.bmp,d
stimuli/Featural_Set/H7sim0.bmp,stimuli/Featural_Set/H8sim0.bmp,d
stimuli/Featural_Set/H6sim0.bmp,stimuli/Featural_Set/H5sim0.bmp,d
stimuli/Featural_Set/H7sim0.bmp,stimuli/Featural_Set/H5sim0.bmp,d
stimuli/Featural_Set/H8sim0.bmp,stimuli/Featural_Set/H5sim0.bmp,d
stimuli/Featural_Set/H7sim0.bmp,stimuli/Featural_Set/H6sim0.bmp,d
stimuli/Featural_Set/H8sim0.bmp,stimuli/Featural_Set/H6sim0.bmp,d
stimuli/Featural_Set/H8sim0.bmp,stimuli/Featural_Set/H7sim0.bmp,d
